title,marks,condition,category,height,width,length,weight,create_date,target_group,is_painting_hint,is_icon_hint,is_coin_hint,is_doc_hint
"Каменев И.Ю. ""Фазы луны"" (триптих, центральная часть), 2015 г., холст. масло  ",NA,NA,ЖИВОПИСЬ,180 см,120 см,NA,NA,2025-12-24T15:53:29+03:00,ART,1,0,0,0
"Каменев И.Ю. ""Фазы луны"" (триптих, левая часть), 2015 г., холст, масло.  ",NA,NA,ЖИВОПИСЬ,180 см,60 см,NA,NA,2025-12-24T15:53:29+03:00,ART,1,0,0,0
"Каменев И.Ю. ""Фазы луны"" (триптих, правая часть), 2015 г., холст, масло.  ",NA,NA,ЖИВОПИСЬ,180 см,60 см,NA,NA,2025-12-24T15:53:29+03:00,ART,1,0,0,0
"Каменев И.Ю. ""Спаситель, попирающий космические символы"" (триптих, центральная часть ""Иисус""), 1996 г., холст, масло  ",NA,NA,ЖИВОПИСЬ,150 см,100 см,NA,NA,2025-12-24T15:53:29+03:00,ART,1,1,0,0
"Каменев И.Ю. ""Спаситель, попирающий космические символы"" (триптих, левая часть ""Богородица""), 1996, холст, масло  ",NA,NA,ЖИВОПИСЬ,80 см,60 см,NA,NA,2025-12-24T15:53:29+03:00,ART,1,1,0,0
"Каменев И.Ю. ""Спаситель, попирающий космические символы"" (триптих, правая часть ""Иоанн Предтече"") 1996 г., холст, масло",NA,NA,ЖИВОПИСЬ,80 см,60 см,NA,NA,2025-12-24T15:53:29+03:00,ART,1,1,0,0
"Картина Ю.Ю. Клевер ""Зимний закат у пристани"", холст, масло, 1892 г.","Справа внизу - подпись и дата: ""Юлiй Клеверъ.92""",NA,ЖИВОПИСЬ,"48,3","79,7",NA,NA,2017-07-17T16:01:35+03:00,ART,1,0,0,0
1111,1111,1111,АРХИВНЫЕ ДОКУМЕНТЫ,NA,NA,NA,NA,2017-09-15T15:05:05+03:00,DOCUMENTS,0,0,0,0
"Жетон Императорского общества любителей естествознания, антропологии, этнографии. Российская империя, г. Москва, 1879 год. В кожаном футляре. Металл, эмаль. ПМ КП 12024","""ИМПЕРАТОРСКОЕ"", ""ОБЩЕСТВО ЛЮБИТЕЛЕЙ"", ""ЕСТЕСТВОЗНАНIЯ"", ""АНТРОПОЛОГIИ И ЭТНОГРАФIИ""",Без видимых повреждений,ПРЕДМЕТЫ ФАЛЕРИСТИКИ И СФРАГИСТИКИ,NA,NA,NA,NA,2018-02-08T16:53:35+03:00,NUMISMATICS,0,0,0,0
"Записная книжка Леонтия Николаевича Бенуа за 1918 год.  70 листов, бумага, картон, чернила  163x92 мм  КП 29564  ",NA,NA,ДОКУМЕНТ / КНИГА,NA,"9,2 см","16,3 см",NA,2018-02-21T10:01:50+03:00,DOCUMENTS,0,0,0,0
